stockId,stockName,type,date,price,rfPrice,rfPercent,parValue,equityMillion,circulationTenThousand,totalPrice,buildYear,onYear,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
1725,元禎,市,10/02,20.4,0.0,0.0,10.0,18.2,18.18,37.1,46.2,23.1,nan,nan,nan,nan,nan,nan,化學工業,許元禎,徐振隆
2712,遠雄來,市,10/02,35.3,-0.1,-0.28,10.0,10.5,10.5,37.1,32.7,9.83,nan,nan,nan,nan,nan,nan,觀光餐旅,武祥生,沈建劭
4989,榮科,市,10/02,26.7,1.15,4.5,10.0,13.8,13.78,36.8,26.7,5.27,nan,nan,nan,nan,nan,nan,電子零組件業,陳銘樹,陳銘樹
2413,環科,市,10/02,28.65,0.4,1.42,10.0,12.7,12.74,36.5,39.6,24.9,nan,nan,nan,nan,nan,nan,電子零組件業,歐正明,歐正明
1730,花仙子,市,10/02,57.5,0.0,0.0,10.0,6.32,6.32,36.4,40.4,22.0,nan,nan,nan,nan,nan,nan,化學工業,蔡心心,雷慧敏
1806,冠軍,市,10/02,9.19,0.04,0.44,10.0,39.0,39.04,35.9,50.9,31.0,nan,nan,nan,nan,nan,nan,玻璃陶瓷,林榮德,林榮德
2906,高林,市,10/02,17.15,0.2,1.18,10.0,20.9,20.91,35.9,54.4,33.8,nan,nan,nan,nan,nan,nan,貿易百貨業,李忠良,李界羲
2236,百達-KY,市,10/02,78.0,-2.6,-3.23,10.0,4.58,4.58,35.7,12.3,8.34,nan,nan,nan,有,nan,nan,汽車工業,黃亮茳,黃泓杰
4426,利勤,市,10/02,20.6,0.05,0.24,10.0,17.3,17.27,35.6,26.0,16.9,nan,nan,nan,nan,nan,nan,紡織纖維,洪文耀,待補
2482,連宇,市,10/02,45.45,0.7,1.56,10.0,7.79,7.79,35.4,40.0,22.0,nan,nan,nan,nan,nan,nan,其他電子業,羅鋇,羅鋇(暫代)
2506,太設,市,10/02,9.13,0.02,0.22,10.0,38.7,38.7,35.3,56.3,43.7,nan,nan,nan,有,有,nan,建材營造業,柳逸義,陳清暉
1459,聯發,市,10/02,9.82,0.02,0.2,10.0,35.9,35.86,35.2,50.8,28.9,nan,nan,nan,有,nan,nan,紡織纖維,葉清澤,王豐岳
8463,潤泰材,市,10/02,23.4,0.15,0.65,10.0,15.0,15.0,35.1,31.0,8.23,nan,nan,nan,nan,nan,nan,其他業,莫惟瀚,陳學賢
8367,建新國際,市,10/02,39.95,0.25,0.63,10.0,8.77,8.77,35.0,34.4,5.06,nan,nan,nan,有,nan,nan,航運業,陳彥銘,陳彥銘
5515,建國,市,10/02,13.85,-0.05,-0.36,10.0,25.2,25.2,34.9,62.9,24.7,nan,nan,nan,nan,nan,nan,建材營造業,吳昌修,甘茂盛
00903,富邦元宇宙,市,10/02,11.28,0.21,1.9,,,30.87,34.8,1.7,1.69,nan,nan,有,nan,nan,nan,nan,史綱,林欣怡
