Date,Open,High,Low,Close,Volume,Adj Close
2021-03-08,29.47,29.47,29.47,29.47,588000.0,
2021-03-09,26.53,26.53,26.53,26.53,1967000.0,
2021-03-10,25.64,27.94,25.51,26.91,5411000.0,
2021-03-11,26.4,26.79,25.64,25.76,2653000.0,
2021-03-12,26.02,26.4,25.64,25.9,1304000.0,
2021-03-15,26.28,26.53,25.9,26.4,1309000.0,
2021-03-16,26.79,28.96,26.53,28.96,2284000.0,
2021-03-17,30.11,31.64,29.08,30.87,4281000.0,
2021-03-18,30.74,30.87,29.08,29.34,2474000.0,
2021-03-19,29.47,30.23,29.34,29.34,980000.0,
2021-03-22,28.58,28.7,27.68,27.94,1566000.0,
2021-03-23,28.06,28.06,26.66,26.66,1457000.0,
2021-03-24,26.79,27.81,26.79,27.17,813000.0,
2021-03-25,27.43,27.43,26.53,26.53,776000.0,
2021-03-26,26.79,26.91,26.53,26.79,669000.0,
2021-03-29,26.79,27.05,26.53,26.66,628000.0,
2021-03-30,27.17,27.17,26.53,26.53,631000.0,
2021-03-31,26.79,26.91,26.15,26.28,886000.0,
2021-04-01,26.28,26.28,25.9,26.28,792000.0,
2021-04-06,26.4,26.79,26.28,26.53,988000.0,
2021-04-07,27.55,29.08,27.55,29.08,1652000.0,
2021-04-08,30.61,31.76,30.23,31.0,5546000.0,
2021-04-09,30.74,30.87,29.59,29.59,1811000.0,
2021-04-12,30.61,32.53,30.61,32.53,3487000.0,
2021-04-13,34.18,34.32,32.4,32.53,4463000.0,
2021-04-14,32.53,32.65,29.34,31.25,2303000.0,
2021-04-15,31.25,31.76,29.47,31.0,1163000.0,
2021-04-16,30.36,30.61,29.34,29.85,1597000.0,
2021-04-19,29.97,29.97,28.06,28.58,2048000.0,
2021-04-20,28.82,29.97,28.82,29.08,1039000.0,
2021-04-21,29.08,29.34,28.58,28.82,1116000.0,
2021-04-22,28.96,29.21,28.06,28.06,1726000.0,
2021-04-23,28.06,28.06,27.17,27.81,1244000.0,
2021-04-26,27.81,28.82,27.81,28.44,1045000.0,
2021-04-27,29.34,29.34,28.32,28.44,844000.0,
2021-04-28,28.44,28.58,28.06,28.06,822000.0,
2021-04-29,28.06,28.32,27.55,27.55,1270000.0,
2021-05-03,27.94,29.34,27.81,28.19,2331000.0,
2021-05-04,28.19,28.58,26.02,26.66,1787000.0,
2021-05-05,26.79,27.05,26.4,26.53,789000.0,
2021-05-06,26.53,27.05,26.28,26.4,869000.0,
2021-05-07,26.28,27.29,26.15,27.17,1096000.0,
2021-05-10,27.17,28.82,27.17,27.81,796000.0,
2021-05-11,27.29,27.68,26.15,26.53,1510000.0,
2021-05-12,26.15,26.28,25.0,25.29,1944000.0,
2021-05-13,25.0,26.4,23.22,25.9,1285000.0,
2021-05-14,25.9,26.4,24.62,25.0,1144000.0,
2021-05-17,22.99,23.73,22.58,22.61,1347000.0,
2021-05-18,22.7,24.52,22.7,24.41,729000.0,
2021-05-19,24.49,25.0,24.0,24.18,442000.0,
2021-05-20,24.11,24.29,23.62,23.68,342000.0,
2021-05-21,23.8,24.14,23.57,23.96,496000.0,
2021-05-24,23.96,24.31,23.54,23.98,360000.0,
2021-05-25,24.75,25.0,24.11,24.31,499000.0,
2021-05-26,24.31,24.62,24.11,24.6,273000.0,
2021-05-27,24.6,24.75,24.14,24.75,238000.0,
2021-05-28,25.44,25.64,24.72,25.38,468000.0,
2021-05-31,25.51,26.53,25.41,25.49,716000.0,
2021-06-01,25.76,26.4,25.51,25.64,519000.0,
2021-06-02,26.66,28.19,26.02,28.19,1859000.0,
2021-06-03,29.47,29.47,26.79,27.05,3348000.0,
2021-06-04,26.4,26.66,26.02,26.15,851000.0,
2021-06-07,26.15,26.4,25.46,25.64,760000.0,
2021-06-08,25.41,25.76,25.41,25.51,503000.0,
2021-06-09,28.06,28.06,28.06,28.06,1504000.0,
2021-06-10,28.7,28.82,27.29,27.55,3255000.0,
2021-06-11,27.55,27.81,26.91,27.81,1326000.0,
2021-06-15,27.68,28.58,27.43,27.68,1491000.0,
2021-06-16,27.94,27.94,27.17,27.29,1575000.0,
2021-06-28,29.37,29.37,27.39,27.9,1934000.0,
2021-06-29,28.05,28.49,26.58,26.73,985000.0,
2021-06-30,26.65,27.02,26.21,26.21,988000.0,
2021-07-01,26.21,26.21,24.52,24.6,1332000.0,
2021-07-02,24.67,27.02,24.67,27.02,873000.0,
2021-07-05,29.67,29.67,29.67,29.67,1709000.0,
2021-07-06,32.6,32.6,31.57,32.6,3547000.0,
2021-07-07,35.1,35.83,33.77,35.83,6081000.0,
2021-07-08,35.9,37.74,34.29,36.2,4819000.0,
2021-07-09,34.51,37.3,34.51,36.05,2341000.0,
2021-07-12,36.05,39.64,34.51,39.64,2671000.0,
2021-07-13,39.64,41.12,37.37,37.37,2476000.0,
2021-07-14,36.56,36.71,33.77,35.54,1726000.0,
2021-07-15,35.9,37.88,35.54,37.44,1013000.0,
2021-07-16,35.98,37.66,35.98,36.34,724000.0,
2021-07-19,37.0,39.94,36.27,39.94,2057000.0,
2021-07-20,39.64,40.68,38.62,39.42,1541000.0,
2021-07-21,40.52,43.32,39.58,43.32,3262000.0,
2021-07-22,44.64,44.64,41.34,41.85,2549000.0,
2021-07-23,41.85,41.92,38.92,40.74,1827000.0,
2021-07-26,40.02,40.24,37.37,37.44,2642000.0,
2021-07-27,38.92,38.92,36.71,37.59,1515000.0,
2021-07-28,36.12,37.3,33.99,35.02,1441000.0,
2021-07-29,35.39,37.15,35.24,36.86,726000.0,
2021-07-30,36.64,37.0,35.76,35.98,698000.0,
2021-08-02,36.64,36.64,34.95,35.39,519000.0,
2021-08-03,38.92,38.92,38.92,38.92,630000.0,
2021-08-04,42.8,42.8,40.96,42.8,5291000.0,
2021-08-05,42.66,46.99,41.85,46.99,6601000.0,
2021-08-06,46.84,51.69,44.06,51.69,8273000.0,
2021-08-09,53.6,56.83,53.38,56.32,9150000.0,
2021-08-10,50.73,50.73,50.73,50.73,718000.0,
2021-08-11,45.67,45.67,45.67,45.67,383000.0,
2021-08-12,41.12,46.26,41.12,44.79,4432000.0,
2021-08-13,43.1,43.1,41.04,42.14,1974000.0,
2021-08-16,41.56,42.14,40.96,42.0,900000.0,
2021-08-17,42.14,43.17,41.12,41.26,1162000.0,
2021-08-18,37.15,37.15,37.15,37.15,787000.0,
2021-08-19,33.48,34.65,33.48,33.48,2945000.0,
2021-08-20,33.19,35.24,32.01,34.73,1258000.0,
2021-08-23,34.73,34.87,33.77,34.87,999000.0,
2021-08-24,35.54,38.32,35.39,38.32,1931000.0,
2021-08-25,40.82,42.14,40.6,42.14,1491000.0,
2021-08-26,46.18,46.33,39.8,46.33,7215000.0,
2021-08-27,45.3,50.95,44.79,49.63,9388000.0,
2021-08-30,49.56,49.56,46.55,47.29,4427000.0,
2021-08-31,47.14,48.31,44.79,47.29,3141000.0,
2021-09-01,45.52,45.52,42.58,42.58,1099000.0,
2021-09-02,41.41,41.41,38.48,39.64,1938000.0,
2021-09-03,40.68,41.85,40.68,41.56,900000.0,
2021-09-06,41.48,42.58,41.12,41.41,446000.0,
2021-09-07,41.85,42.29,40.82,41.85,780000.0,
2021-09-08,41.7,42.66,41.56,41.85,435000.0,
2021-09-09,43.32,43.32,42.14,42.95,561000.0,
2021-09-10,44.64,47.14,44.35,46.11,1212000.0,
2021-09-13,46.18,46.4,45.01,46.26,779000.0,
2021-09-14,46.84,50.59,46.18,50.59,1386000.0,
2021-09-15,52.13,54.77,47.43,48.46,5420000.0,
2021-09-16,46.7,46.99,43.76,43.9,2909000.0,
2021-09-17,45.08,46.62,42.07,44.28,1567000.0,
2021-09-22,41.63,44.28,41.56,42.58,1165000.0,
2021-09-23,43.32,44.2,42.0,42.07,1009000.0,
2021-09-24,42.07,43.32,41.63,42.0,1011000.0,
2021-09-27,42.8,42.88,41.12,41.12,839000.0,
2021-09-28,41.56,41.85,39.86,41.7,977000.0,
2021-09-29,40.16,41.56,40.16,40.16,809000.0,
2021-09-30,40.24,40.9,39.64,40.68,487000.0,
2021-10-01,40.24,43.9,40.24,42.0,1711000.0,
2021-10-04,42.8,42.88,37.81,38.92,2049000.0,
2021-10-05,37.3,39.5,36.86,38.92,741000.0,
2021-10-06,39.2,40.08,37.0,37.08,752000.0,
2021-10-07,38.18,40.74,37.59,40.74,1322000.0,
2021-10-08,40.96,41.85,39.58,39.94,1213000.0,
2021-10-12,40.24,40.24,38.1,38.92,674000.0,
2021-10-13,38.92,39.28,37.0,37.08,820000.0,
2021-10-14,37.37,37.96,35.32,35.32,1274000.0,
2021-10-15,36.34,38.84,35.32,38.84,1423000.0,
2021-10-18,40.38,42.66,40.3,42.66,4217000.0,
2021-10-19,42.58,43.61,40.6,43.17,3555000.0,
2021-10-20,42.73,43.46,41.85,42.0,1755000.0,
2021-10-21,42.44,45.82,41.85,43.68,3010000.0,
2021-10-22,44.06,44.2,42.66,43.02,1584000.0,
2021-10-25,43.02,47.29,43.02,47.29,6181000.0,
2021-10-26,51.99,51.99,51.99,51.99,2902000.0,
2021-10-27,55.07,57.12,54.26,57.12,11874000.0,
2021-10-28,58.74,62.78,55.21,62.78,11991000.0,
2021-10-29,59.92,68.73,59.76,67.47,11609000.0,
2021-11-01,69.01,72.39,64.68,69.83,9178000.0,
2021-11-02,70.56,70.56,62.92,62.92,6419000.0,
2021-11-03,61.68,67.55,61.68,66.89,4248000.0,
2021-11-04,66.89,68.06,64.61,65.34,3062000.0,
2021-11-05,66.74,67.99,65.79,66.08,2401000.0,
2021-11-08,68.43,68.43,63.14,64.17,2434000.0,
2021-11-09,63.88,66.08,63.88,64.61,1531000.0,
2021-11-10,62.85,63.22,60.94,62.34,2645000.0,
2021-11-11,63.0,65.05,62.78,62.85,1819000.0,
2021-11-12,63.44,67.55,63.44,67.55,2765000.0,
2021-11-15,68.57,74.31,68.57,74.31,5802000.0,
2021-11-16,73.57,74.31,67.55,71.37,6973000.0,
2021-11-17,69.45,73.13,68.28,68.73,4021000.0,
2021-11-18,68.73,74.31,66.89,71.22,5728000.0,
2021-11-19,71.07,71.29,67.69,67.84,3888000.0,
2021-11-22,66.52,69.67,66.08,66.89,2565000.0,
2021-11-23,66.81,68.73,65.79,66.23,1980000.0,
2021-11-24,66.23,66.81,63.29,63.66,2505000.0,
2021-11-25,63.36,65.27,60.2,60.2,2590000.0,
2021-11-26,57.27,58.74,55.21,56.17,3457000.0,
2021-11-29,52.87,61.74,52.87,61.74,3400000.0,
2021-11-30,62.41,66.81,60.94,63.22,5017000.0,
2021-12-01,60.72,64.46,59.48,63.88,3641000.0,
2021-12-13,70.22,70.22,70.22,70.22,1009000.0,
2021-12-14,77.2,77.2,70.03,76.53,5911000.0,
2021-12-15,72.71,74.33,71.37,72.71,2310000.0,
2021-12-16,74.14,74.14,68.12,69.84,2179000.0,
2021-12-17,68.4,69.84,66.97,67.06,1614000.0,
2021-12-20,67.45,70.22,64.58,67.83,1423000.0,
2021-12-21,68.21,69.26,66.39,68.5,1096000.0,
2021-12-22,68.79,69.93,67.45,67.45,802000.0,
2021-12-23,69.65,74.14,68.88,74.14,3091000.0,
2021-12-24,74.14,80.07,72.71,79.4,5312000.0,
2021-12-27,80.36,87.34,80.07,87.34,5253000.0,
2021-12-28,87.54,95.67,84.47,95.67,6339000.0,
2021-12-29,86.96,97.58,86.39,91.94,4940000.0,
2021-12-30,90.88,94.71,90.88,93.75,1727000.0,
2022-01-03,95.29,95.29,89.93,90.02,1906000.0,
2022-01-04,93.28,95.67,91.46,94.71,1846000.0,
2022-01-05,94.71,97.58,92.8,93.85,1659000.0,
2022-01-06,92.7,95.67,91.84,93.75,1111000.0,
2022-01-07,94.71,94.71,89.74,89.74,1625000.0,
2022-01-10,84.38,89.74,84.38,86.39,1455000.0,
2022-01-11,90.12,90.12,82.47,84.19,1601000.0,
2022-01-12,85.14,86.68,83.33,86.01,1009000.0,
2022-01-13,85.14,88.01,85.14,87.82,897000.0,
2022-01-14,85.62,88.59,79.12,79.5,3333000.0,
2022-01-17,75.1,82.27,72.23,79.4,1996000.0,
2022-01-18,77.97,81.8,77.3,81.13,1435000.0,
2022-01-19,81.7,89.16,81.7,89.16,3021000.0,
2022-01-20,93.37,95.57,90.12,92.03,4573000.0,
2022-01-21,88.97,92.89,86.39,88.01,2503000.0,
2022-01-24,83.9,87.92,81.89,85.62,2131000.0,
2022-01-25,84.19,85.62,81.32,81.32,1629000.0,
2022-01-26,80.46,83.04,79.88,79.88,987000.0,
2022-02-07,81.13,81.13,76.25,78.26,1134000.0,
2022-02-08,79.02,80.74,76.92,79.31,702000.0,
2022-02-09,78.93,86.58,77.68,83.9,1722000.0,
2022-02-10,84.67,85.91,82.37,82.37,939000.0,
2022-02-11,81.03,83.9,81.03,81.41,505000.0,
2022-02-14,78.26,80.74,77.97,78.16,887000.0,
2022-02-15,78.45,82.18,78.45,79.21,658000.0,
2022-02-16,81.03,81.32,79.6,79.88,526000.0,
2022-02-17,79.4,84.76,79.4,81.8,1355000.0,
2022-02-18,79.98,81.03,78.93,80.46,913000.0,
